x,y
1.0,97.58776
2.0,97.76344
3.0,96.56705
4.0,92.52037
5.0,91.15097
6.0,95.21728
7.0,90.21355
8.0,89.29235
9.0,91.51479
10.0,89.60965
11.0,86.56187
12.0,85.55315
13.0,87.13053
14.0,85.67938
15.0,80.04849
16.0,82.18922
17.0,87.24078
18.0,80.79401
19.0,81.28564
20.0,81.56932
21.0,79.22703
22.0,79.43259
23.0,77.90174
24.0,76.75438
25.0,77.17338
26.0,74.27296
27.0,73.11830
28.0,73.84732
29.0,72.47746
30.0,71.92128
31.0,66.91962
32.0,67.93554
33.0,69.55841
34.0,69.06592
35.0,66.53371
36.0,63.87094
37.0,69.70526
38.0,63.59295
39.0,63.35509
40.0,59.99747
41.0,62.64843
42.0,65.77345
43.0,59.10141
44.0,56.57750
45.0,61.15313
46.0,54.30767
47.0,62.83535
48.0,56.52957
49.0,56.98427
50.0,58.11459
51.0,58.69576
52.0,58.23322
53.0,54.90490
54.0,57.91442
55.0,56.96629
56.0,51.13831
57.0,49.27123
58.0,52.92668
59.0,54.47693
60.0,51.81710
61.0,51.05401
62.0,52.51731
63.0,51.83710
64.0,54.48196
65.0,49.05859
66.0,50.52315
67.0,50.32755
68.0,46.44419
69.0,50.89281
70.0,52.13203
71.0,49.78741
72.0,49.01637
73.0,54.18198
74.0,53.17456
75.0,53.20827
76.0,57.43459
77.0,51.95282
78.0,54.20282
79.0,57.46687
80.0,53.60268
81.0,58.86728
82.0,57.66652
83.0,63.71034
84.0,65.24244
85.0,65.10878
86.0,69.96313
87.0,68.85475
88.0,73.32574
89.0,76.21241
90.0,78.06311
91.0,75.37701
92.0,87.54449
93.0,89.50588
94.0,95.82098
95.0,97.48390
96.0,100.86070
97.0,102.48510
98.0,105.7311
99.0,111.3489
100.0,111.0305   
101.0,110.1920   
102.0,118.3581   
103.0,118.8086  
104.0,122.4249  
105.0,124.0953  
106.0,125.9337
107.0,127.8533
108.0,131.0361
109.0,133.3343
110.0,135.1278
111.0,131.7113
112.0,131.9151
113.0,132.1107
114.0,127.6898
115.0,133.2148
116.0,128.2296
117.0,133.5902
118.0,127.2539
119.0,128.3482
120.0,124.8694
121.0,124.6031
122.0,117.0648
123.0,118.1966
124.0,119.5408
125.0,114.7946
126.0,114.2780
127.0,120.3484
128.0,114.8647
129.0,111.6514
130.0,110.1826
131.0,108.4461
132.0,109.0571
133.0,106.5308
134.0,109.4691
135.0,106.8709
136.0,107.3192
137.0,106.9000
138.0,109.6526
139.0,107.1602
140.0,108.2509
141.0,104.96310
142.0,109.3601
143.0,107.6696
144.0,99.77286
145.0,104.96440
146.0,106.1376
147.0,106.5816
148.0,100.12860
149.0,101.66910
150.0,96.44254
151.0,97.34169
152.0,96.97412
153.0,90.73460
154.0,93.37949
155.0,82.12331
156.0,83.01657
157.0,78.87360
158.0,74.86971
159.0,72.79341
160.0,65.14744
161.0,67.02127
162.0,60.16136
163.0,57.13996
164.0,54.05769
165.0,50.42265
166.0,47.82430
167.0,42.85748
168.0,42.45495
169.0,38.30808
170.0,36.95794
171.0,33.94543
172.0,34.19017
173.0,31.66097
174.0,23.56172
175.0,29.61143
176.0,23.88765
177.0,22.49812
178.0,24.86901
179.0,17.29481
180.0,18.09291
181.0,15.34813
182.0,14.77997
183.0,13.87832
184.0,12.88891
185.0,16.20763
186.0,16.29024
187.0,15.29712
188.0,14.97839
189.0,12.11330
190.0,14.24168
191.0,12.53824
192.0,15.19818
193.0,11.70478
194.0,15.83745
195.0,10.035850
196.0,9.307574
197.0,12.86800
198.0,8.571671
199.0,11.60415
200.0,12.42772
201.0,11.23627
202.0,11.13198
203.0,7.761117
204.0,6.758250
205.0,14.23375
206.0,10.63876
207.0,8.893581
208.0,11.55398
209.0,11.57221
210.0,11.58347
211.0,9.724857
212.0,11.43854
213.0,11.22636
214.0,10.170150
215.0,12.50765
216.0,6.200494
217.0,9.018902
218.0,10.80557
219.0,13.09591
220.0,3.914033
221.0,9.567723
222.0,8.038338
223.0,10.230960
224.0,9.367358
225.0,7.695937
226.0,6.118552
227.0,8.793192
228.0,7.796682
229.0,12.45064
230.0,10.61601
231.0,6.001000
232.0,6.765096
233.0,8.764652
234.0,4.586417
235.0,8.390782
236.0,7.209201
237.0,10.012090
238.0,7.327461
239.0,6.525136
240.0,2.840065
241.0,10.323710
242.0,4.790035
243.0,8.376431
244.0,6.263980
245.0,2.705892
246.0,8.362109
247.0,8.983507
248.0,3.362469
249.0,1.182678
250.0,4.875312
